symbol,LK01,LK02,LK03,LK04_treated,LK05_treated,LK06_treated,log2FoldChange,pvalue,padj,qval
1700042O10Rik,1.212343759,2.582485449,1.2243641,0,3.545033785,3.455952327,0.494081618,0.749216118,NA,0.936941777
Grb10,90.92578189,183.3564669,135.9044151,47.9226927,102.8059798,88.70277641,-0.773421049,0.012757364,0.071830702,0.094139666
Cobl,540.7053163,395.1202737,542.3932962,439.9057433,544.753525,247.6765835,-0.263402356,0.224454351,0.496325429,0.594392619
Gm12009,1.212343759,1.291242725,2.4487282,1.228786992,1.181677928,1.151984109,-0.478188802,0.741062426,NA,0.93398458
Sec61g,523.7325037,674.0287022,434.6492554,593.5041173,505.7581533,528.7607061,-0.003255571,0.982397597,0.992579947,1
Akt2-ps,23.03453141,20.65988359,36.73092299,18.43180489,23.63355857,18.43174575,-0.413154449,0.256192463,0.533285465,0.632681433
Gm12663,29.0962502,16.78615542,29.38473839,15.9742309,11.81677928,41.47142793,-0.118106013,0.812716181,0.922531848,0.960435765
Egfr,11349.96227,12751.02191,13477.80001,13655.50985,17503.01347,11868.89228,0.195337526,0.295017984,0.577509181,0.677677946
Eldr,2.424687517,2.582485449,0,1.228786992,0,1.151984109,-1.068582388,0.463941735,NA,0.808615192
Fbxo48,1.212343759,3.873728174,0,2.457573985,0,1.151984109,-0.490777677,0.772644512,NA,0.946618691
Plek,35.157969,43.90225264,45.30147169,126.5650602,225.7004843,240.7646788,2.256353338,6.44E-19,1.90E-16,2.55E-16
Cnrip1,12.12343759,19.36864087,18.3654615,19.66059188,24.8152365,52.99126902,0.974637798,0.023442633,0.112748207,0.14629231
Gm12013,0,1.291242725,0,0,0,0,-1.027252715,0.819125424,NA,0.962446545
Ppp3r1,564.9521915,535.8657307,658.7078857,521.0056848,610.927489,623.2234031,-0.003346839,0.971757245,0.988101128,1
Wdr92,252.1675018,256.9573022,312.2128454,190.4619838,223.3371285,223.4849172,-0.365242626,0.001906305,0.016910586,0.022498646
Pno1,689.8235986,710.1834985,770.1250188,535.7511287,534.1184236,495.3531669,-0.47181518,2.63E-06,6.52E-05,8.73E-05
C1d,604.9595355,581.0592261,538.7202039,500.1163059,469.1261376,414.7142793,-0.318284499,0.006861273,0.045765424,0.060435666
Etaa1,75.16531303,76.18332075,93.05167158,89.70145045,83.89913291,63.359126,-0.047984345,0.807768976,0.920405432,0.958629148
Etaa1os,24.24687517,12.91242725,15.9167333,13.51665692,17.72516893,11.51984109,-0.31681559,0.482649917,0.734059017,0.821549837
Gm12017,2.424687517,3.873728174,2.4487282,2.457573985,1.181677928,0,-1.282936485,0.303435097,NA,0.686716889
Meis1,63.04187544,71.01834985,57.54511269,77.41358052,69.71899777,64.51111011,0.14362603,0.48689292,0.737162218,0.824810095
Gm37818,2.424687517,5.164970898,4.897456399,2.457573985,3.545033785,3.455952327,-0.392567147,0.652619229,NA,0.904948266
Glns-ps1,14.5481251,235.0061759,243.6484559,114.2771903,196.1585361,31.10357095,-0.530063977,0.465995969,0.721216277,0.810315621
Spred2,339.4562524,352.5092638,389.3477837,342.8315709,321.4163965,329.4674552,-0.122160746,0.360026347,0.638944235,0.735796031
Actr2,1812.453919,1763.837562,1764.308668,1558.101906,1923.771667,1852.390448,-0.001274365,0.986094303,0.993594443,1
Rab1a,2724.136425,3148.049763,2693.601019,2598.884489,2762.762996,2536.669008,-0.116814839,0.166504056,0.416659945,0.507126136
Cep68,277.6267207,263.4135158,276.7062865,216.2665107,238.6989415,247.6765835,-0.218257668,0.066010622,0.230502379,0.291709704
Slc1a4,66.67890672,85.22201982,78.35930239,99.53174638,94.53423427,81.79087175,0.260982016,0.302842838,0.585817484,0.686155943
Gm12033,1452.387823,1634.713289,1684.725001,1837.036554,1392.0166,1196.911489,-0.108738268,0.559067029,0.783484105,0.866815801
Gm12034,2.424687517,1.291242725,2.4487282,2.457573985,0,1.151984109,-0.792155471,0.545211246,NA,0.859228171
Sertad2,475.2387533,408.032701,389.3477837,383.3815416,411.2239191,369.786899,-0.128670185,0.328861153,0.60980853,0.709769429
Aftph,739.5296927,617.2140224,700.3362651,594.7329043,639.2877592,602.4876891,-0.164500058,0.058114483,0.212408801,0.270224239
Gm12036,2.424687517,1.291242725,0,9.830295939,3.545033785,4.607936437,2.267588798,0.056471656,NA,0.266022143
Lgalsl,206.0984389,171.7352824,157.9429689,146.2256521,147.709741,117.5023791,-0.382880998,0.01961889,0.099053821,0.128912293
Peli1,442.5054719,365.4216911,454.239081,364.9497367,376.9552591,474.617453,-0.053056345,0.669694621,0.848312264,0.911029885
Vps54,874.0998499,778.6193629,803.1828494,647.570745,700.7350115,717.6861,-0.249355596,0.003810585,0.029420755,0.039065198
Ugp2,7042.504893,5571.712357,8122.431438,6605.958871,5025.676229,5918.894353,-0.240781106,0.065389935,0.22924632,0.290336707
